treatment_id,animal_id,health_record_id,disease,diagnosis_date,treatment_start_date,medicine,medicine_type,dose,duration_days,veterinarian,isolation_advised,outcome,followup_date,cost_inr
TR0011,DS006,HR0007,Foot_Mouth_Disease,2026-07-13,2026-07-14,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-07-23,1400
TR0012,DS006,HR0007,Foot_Mouth_Disease,2026-07-13,2026-07-14,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Recovered,2026-07-26,2500
TR0013,DS007,HR0009,Foot_Mouth_Disease,2026-09-07,2026-09-07,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. A. Kulkarni,Yes,Referred to lab,2026-09-18,1000
TR0014,DS007,HR0009,Foot_Mouth_Disease,2026-09-07,2026-09-08,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Referred to lab,2026-09-16,3150
TR0015,DS007,HR0009,Foot_Mouth_Disease,2026-09-07,2026-09-07,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Referred to lab,2026-09-22,2250
TR0016,DS008,HR0010,Mastitis,2026-07-17,2026-07-17,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-07-26,2900
TR0017,DS008,HR0010,Mastitis,2026-07-17,2026-07-17,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-07-25,1650
TR0018,DS008,HR0010,Mastitis,2026-07-17,2026-07-17,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Recovered,2026-08-06,400
TR0019,DS009,HR0012,Ringworm,2026-06-15,2026-06-16,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. S. Joshi,No,Under treatment,2026-07-06,2550
TR0020,DS009,HR0012,Ringworm,2026-06-15,2026-06-15,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Under treatment,2026-07-05,2000
TR0021,DS010,HR0013,Lumpy_Skin_Disease,2026-08-29,2026-08-29,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-09-10,2700
TR0022,DS010,HR0013,Lumpy_Skin_Disease,2026-08-29,2026-08-30,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Recovered,2026-09-05,500
TR0023,DS010,HR0013,Lumpy_Skin_Disease,2026-08-29,2026-08-29,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-09-11,2100
TR0024,DS010,HR0013,Lumpy_Skin_Disease,2026-08-29,2026-08-30,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. M. Sawant,Yes,Recovered,2026-09-16,1100
TR0025,DS012,HR0016,Mastitis,2026-07-01,2026-07-02,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,No,Under treatment,2026-07-10,2850
TR0026,DS012,HR0016,Mastitis,2026-07-01,2026-07-02,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,No,Under treatment,2026-07-07,1200
TR0027,DS012,HR0016,Mastitis,2026-07-01,2026-07-01,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. S. Joshi,No,Under treatment,2026-07-20,1950
TR0028,DS013,HR0017,Lumpy_Skin_Disease,2026-08-11,2026-08-12,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-08-20,300
TR0029,DS013,HR0017,Lumpy_Skin_Disease,2026-08-11,2026-08-11,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-08-21,1000
TR0030,DS013,HR0017,Lumpy_Skin_Disease,2026-08-11,2026-08-12,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-08-25,350
TR0031,DS013,HR0017,Lumpy_Skin_Disease,2026-08-11,2026-08-12,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Recovered,2026-08-31,2000
TR0032,DS014,HR0019,Mastitis,2026-07-07,2026-07-08,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,No,Recovered,2026-07-15,2600
TR0033,DS014,HR0019,Mastitis,2026-07-07,2026-07-08,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,No,Recovered,2026-07-14,1600
TR0034,DS014,HR0019,Mastitis,2026-07-07,2026-07-08,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-07-23,3500
TR0035,DS015,HR0021,Foot_Mouth_Disease,2026-08-09,2026-08-09,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. S. Joshi,Yes,Recovered,2026-08-23,1150
TR0036,DS015,HR0021,Foot_Mouth_Disease,2026-08-09,2026-08-09,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-08-21,450
TR0037,DS015,HR0021,Foot_Mouth_Disease,2026-08-09,2026-08-10,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-08-22,1100
TR0038,DS016,HR0023,Lumpy_Skin_Disease,2026-08-03,2026-08-03,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-08-11,1650
TR0039,DS016,HR0023,Lumpy_Skin_Disease,2026-08-03,2026-08-04,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Recovered,2026-08-09,2600
TR0040,DS016,HR0023,Lumpy_Skin_Disease,2026-08-03,2026-08-04,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-08-20,2950
TR0041,DS016,HR0023,Lumpy_Skin_Disease,2026-08-03,2026-08-04,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Recovered,2026-08-24,1550
TR0042,DS017,HR0025,Mastitis,2026-07-30,2026-07-31,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,No,Recovered,2026-08-09,2650
TR0043,DS017,HR0025,Mastitis,2026-07-30,2026-07-30,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,No,Recovered,2026-08-09,2300
TR0044,DS017,HR0025,Mastitis,2026-07-30,2026-07-30,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. M. Sawant,No,Recovered,2026-08-18,3200
TR0045,DS018,HR0027,Mastitis,2026-07-16,2026-07-16,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,No,Under treatment,2026-07-25,3200
TR0046,DS018,HR0027,Mastitis,2026-07-16,2026-07-17,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,No,Under treatment,2026-07-22,3500
TR0047,DS018,HR0027,Mastitis,2026-07-16,2026-07-17,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Under treatment,2026-08-04,500
TR0048,DS019,HR0028,Lumpy_Skin_Disease,2026-06-22,2026-06-22,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Under treatment,2026-06-30,1500
TR0049,DS019,HR0028,Lumpy_Skin_Disease,2026-06-22,2026-06-22,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Under treatment,2026-07-01,1950
TR0050,DS019,HR0028,Lumpy_Skin_Disease,2026-06-22,2026-06-22,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Under treatment,2026-07-06,1300
TR0051,DS019,HR0028,Lumpy_Skin_Disease,2026-06-22,2026-06-22,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Under treatment,2026-07-09,950
TR0052,DS020,HR0029,Ringworm,2026-05-07,2026-05-08,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. M. Sawant,No,Under treatment,2026-05-23,2500
TR0053,DS020,HR0029,Ringworm,2026-05-07,2026-05-08,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. M. Sawant,No,Under treatment,2026-05-26,800
TR0054,DS021,HR0030,Ringworm,2026-08-25,2026-08-26,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. V. Thorat,No,Recovered,2026-09-15,2400
TR0055,DS021,HR0030,Ringworm,2026-08-25,2026-08-26,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Recovered,2026-09-10,350
TR0056,DS022,HR0032,Lumpy_Skin_Disease,2026-06-01,2026-06-01,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Under treatment,2026-06-08,1700
TR0057,DS022,HR0032,Lumpy_Skin_Disease,2026-06-01,2026-06-02,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,Yes,Under treatment,2026-06-06,2700
TR0058,DS022,HR0032,Lumpy_Skin_Disease,2026-06-01,2026-06-02,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. A. Kulkarni,Yes,Under treatment,2026-06-16,2150
TR0059,DS022,HR0032,Lumpy_Skin_Disease,2026-06-01,2026-06-02,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. A. Kulkarni,Yes,Under treatment,2026-06-20,2100
TR0060,DS023,HR0033,Healthy,2026-06-24,2026-06-24,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. S. Joshi,No,Recovered,2026-07-31,1500
TR0061,DS024,HR0034,Mastitis,2026-07-15,2026-07-15,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,No,Recovered,2026-07-25,2750
TR0062,DS024,HR0034,Mastitis,2026-07-15,2026-07-15,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. A. Kulkarni,No,Recovered,2026-07-23,3500
TR0063,DS025,HR0036,Ringworm,2026-06-18,2026-06-19,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. M. Sawant,No,Referred to lab,2026-07-05,800
TR0064,DS026,HR0037,Lumpy_Skin_Disease,2026-07-02,2026-07-02,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Under treatment,2026-07-13,2900
TR0065,DS026,HR0037,Lumpy_Skin_Disease,2026-07-02,2026-07-03,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Under treatment,2026-07-11,3150
TR0066,DS026,HR0037,Lumpy_Skin_Disease,2026-07-02,2026-07-03,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Under treatment,2026-07-15,3050
TR0067,DS027,HR0038,Healthy,2026-09-02,2026-09-03,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. M. Sawant,No,Recovered,2026-10-04,2500
TR0068,DS028,HR0039,Lumpy_Skin_Disease,2026-05-05,2026-05-05,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Under treatment,2026-05-14,1050
TR0069,DS028,HR0039,Lumpy_Skin_Disease,2026-05-05,2026-05-06,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Under treatment,2026-05-11,950
TR0070,DS028,HR0039,Lumpy_Skin_Disease,2026-05-05,2026-05-05,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Under treatment,2026-05-17,700
TR0071,DS028,HR0039,Lumpy_Skin_Disease,2026-05-05,2026-05-06,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. M. Sawant,Yes,Under treatment,2026-05-21,1100
TR0072,DS030,HR0041,Lumpy_Skin_Disease,2026-08-10,2026-08-11,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. R. Deshpande,Yes,Recovered,2026-08-19,1450
TR0073,DS030,HR0041,Lumpy_Skin_Disease,2026-08-10,2026-08-10,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. R. Deshpande,Yes,Recovered,2026-08-17,3250
TR0074,DS030,HR0041,Lumpy_Skin_Disease,2026-08-10,2026-08-10,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. R. Deshpande,Yes,Recovered,2026-08-26,2050
TR0075,DS030,HR0041,Lumpy_Skin_Disease,2026-08-10,2026-08-10,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. R. Deshpande,Yes,Recovered,2026-08-30,2450
TR0076,DS031,HR0043,Lumpy_Skin_Disease,2026-09-16,2026-09-17,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-09-23,1850
TR0077,DS031,HR0043,Lumpy_Skin_Disease,2026-09-16,2026-09-17,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Recovered,2026-09-26,2350
TR0078,DS031,HR0043,Lumpy_Skin_Disease,2026-09-16,2026-09-16,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-09-28,2500
TR0079,DS031,HR0043,Lumpy_Skin_Disease,2026-09-16,2026-09-17,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Recovered,2026-10-07,3350
TR0080,DS032,HR0044,Foot_Mouth_Disease,2026-08-03,2026-08-04,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. A. Kulkarni,Yes,Recovered,2026-08-14,1350
TR0081,DS032,HR0044,Foot_Mouth_Disease,2026-08-03,2026-08-03,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. A. Kulkarni,Yes,Recovered,2026-08-11,2150
TR0082,DS033,HR0046,Mastitis,2026-07-18,2026-07-18,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,No,Under treatment,2026-07-27,2100
TR0083,DS033,HR0046,Mastitis,2026-07-18,2026-07-18,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,No,Under treatment,2026-07-25,3200
TR0084,DS033,HR0046,Mastitis,2026-07-18,2026-07-18,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-08-06,3500
TR0085,DS034,HR0047,Mastitis,2026-08-15,2026-08-15,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,No,Recovered,2026-08-22,350
TR0086,DS034,HR0047,Mastitis,2026-08-15,2026-08-15,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,No,Recovered,2026-08-25,2250
TR0087,DS034,HR0047,Mastitis,2026-08-15,2026-08-15,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. V. Thorat,No,Recovered,2026-08-31,3350
TR0088,DS035,HR0049,Healthy,2026-06-20,2026-06-20,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. A. Kulkarni,No,Recovered,2026-06-23,2200
TR0089,DS036,HR0050,Ringworm,2026-05-20,2026-05-21,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-06-08,1350
TR0090,DS036,HR0050,Ringworm,2026-05-20,2026-05-20,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-06-06,3500
TR0091,DS037,HR0051,Foot_Mouth_Disease,2026-08-11,2026-08-11,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. S. Joshi,Yes,Recovered,2026-08-21,1950
TR0092,DS037,HR0051,Foot_Mouth_Disease,2026-08-11,2026-08-11,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-08-21,1900
TR0093,DS037,HR0051,Foot_Mouth_Disease,2026-08-11,2026-08-12,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-08-26,1200
TR0094,DS039,HR0054,Foot_Mouth_Disease,2026-09-14,2026-09-14,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. P. Naik,Yes,Recovered,2026-09-23,1300
TR0095,DS039,HR0054,Foot_Mouth_Disease,2026-09-14,2026-09-15,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-09-26,2750
TR0096,DS039,HR0054,Foot_Mouth_Disease,2026-09-14,2026-09-15,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-09-27,1900
TR0097,DS040,HR0055,Lumpy_Skin_Disease,2026-06-03,2026-06-03,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Recovered,2026-06-12,1850
TR0098,DS040,HR0055,Lumpy_Skin_Disease,2026-06-03,2026-06-04,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. M. Sawant,Yes,Recovered,2026-06-08,500
TR0099,DS040,HR0055,Lumpy_Skin_Disease,2026-06-03,2026-06-03,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. M. Sawant,Yes,Recovered,2026-06-16,1350
TR0100,DS040,HR0055,Lumpy_Skin_Disease,2026-06-03,2026-06-03,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. M. Sawant,Yes,Recovered,2026-06-19,2500
TR0101,DS041,HR0057,Healthy,2026-08-23,2026-08-24,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. S. Joshi,No,Recovered,2026-08-27,3350
TR0102,DS043,HR0059,Mastitis,2026-05-02,2026-05-03,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,No,Under treatment,2026-05-12,1800
TR0103,DS043,HR0059,Mastitis,2026-05-02,2026-05-02,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,No,Under treatment,2026-05-10,2700
TR0104,DS043,HR0059,Mastitis,2026-05-02,2026-05-02,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Under treatment,2026-05-21,2400
TR0105,DS046,HR0062,Lumpy_Skin_Disease,2026-06-23,2026-06-23,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-07-04,1450
TR0106,DS046,HR0062,Lumpy_Skin_Disease,2026-06-23,2026-06-23,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-06-29,1950
TR0107,DS046,HR0062,Lumpy_Skin_Disease,2026-06-23,2026-06-24,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-07-05,2600
TR0108,DS046,HR0062,Lumpy_Skin_Disease,2026-06-23,2026-06-23,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. P. Naik,Yes,Recovered,2026-07-14,2600
TR0109,DS047,HR0064,Lumpy_Skin_Disease,2026-07-22,2026-07-23,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-07-29,2050
TR0110,DS047,HR0064,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-07-27,1550
TR0111,DS047,HR0064,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-08-05,2950
TR0112,DS048,HR0066,Foot_Mouth_Disease,2026-07-23,2026-07-23,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. V. Thorat,Yes,Recovered,2026-08-06,650
TR0113,DS048,HR0066,Foot_Mouth_Disease,2026-07-23,2026-07-23,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Recovered,2026-08-01,2350
TR0114,DS048,HR0066,Foot_Mouth_Disease,2026-07-23,2026-07-23,Soft feed and oral fluids,Supportive,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Recovered,2026-08-06,1350
TR0115,DS052,HR0071,Ringworm,2026-05-21,2026-05-22,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. A. Kulkarni,No,Referred to lab,2026-06-10,2400
TR0116,DS053,HR0072,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. V. Thorat,Yes,Under treatment,2026-08-02,3400
TR0117,DS053,HR0072,Lumpy_Skin_Disease,2026-07-22,2026-07-22,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. V. Thorat,Yes,Under treatment,2026-07-27,2750
TR0118,DS053,HR0072,Lumpy_Skin_Disease,2026-07-22,2026-07-23,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. V. Thorat,Yes,Under treatment,2026-08-05,3550
TR0119,DS053,HR0072,Lumpy_Skin_Disease,2026-07-22,2026-07-23,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. V. Thorat,Yes,Under treatment,2026-08-10,1900
TR0120,DS054,HR0073,Lumpy_Skin_Disease,2026-09-20,2026-09-20,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-09-28,3100
TR0121,DS054,HR0073,Lumpy_Skin_Disease,2026-09-20,2026-09-21,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Recovered,2026-09-27,2250
TR0122,DS054,HR0073,Lumpy_Skin_Disease,2026-09-20,2026-09-21,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-10-03,2250
TR0123,DS054,HR0073,Lumpy_Skin_Disease,2026-09-20,2026-09-20,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Recovered,2026-10-08,1550
TR0124,DS055,HR0074,Healthy,2026-06-12,2026-06-13,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-06-16,1000
TR0125,DS057,HR0076,Ringworm,2026-09-20,2026-09-20,Natamycin topical wash,Antifungal,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-10-06,350
TR0126,DS057,HR0076,Ringworm,2026-09-20,2026-09-20,Isolation and bedding disinfection,Management,As prescribed by veterinarian,14,Dr. R. Deshpande,No,Recovered,2026-10-09,650
TR0127,DS058,HR0077,Lumpy_Skin_Disease,2026-09-04,2026-09-04,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-09-13,2200
TR0128,DS058,HR0077,Lumpy_Skin_Disease,2026-09-04,2026-09-04,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-09-11,2050
TR0129,DS058,HR0077,Lumpy_Skin_Disease,2026-09-04,2026-09-05,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-09-21,2450
TR0130,DS059,HR0078,Healthy,2026-06-15,2026-06-15,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. A. Kulkarni,No,Recovered,2026-06-23,3250
TR0131,DS060,HR0079,Healthy,2026-06-12,2026-06-13,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. R. Deshpande,No,Recovered,2026-06-20,900
TR0132,DS061,HR0080,Lumpy_Skin_Disease,2026-08-08,2026-08-09,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. S. Joshi,Yes,Recovered,2026-08-17,3400
TR0133,DS061,HR0080,Lumpy_Skin_Disease,2026-08-08,2026-08-09,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. S. Joshi,Yes,Recovered,2026-08-13,1000
TR0134,DS061,HR0080,Lumpy_Skin_Disease,2026-08-08,2026-08-09,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. S. Joshi,Yes,Recovered,2026-08-23,2700
TR0135,DS061,HR0080,Lumpy_Skin_Disease,2026-08-08,2026-08-09,Vitamin and mineral supplement,Supportive,As prescribed by veterinarian,14,Dr. S. Joshi,Yes,Recovered,2026-08-27,3100
TR0136,DS062,HR0082,Healthy,2026-06-17,2026-06-18,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. A. Kulkarni,No,Recovered,2026-07-22,1450
TR0137,DS063,HR0083,Healthy,2026-07-31,2026-08-01,Mineral mixture supplement,Preventive,As prescribed by veterinarian,30,Dr. S. Joshi,No,Recovered,2026-09-01,3200
