vaccination_id,animal_id,vaccine,disease_covered,date_given,next_due_date,batch_number,administered_by,status,schedule
VC0057,DS014,BQ,Black Quarter,2026-04-02,2027-04-02,BQ-2585,Dr. R. Deshpande,Completed,Every 12 months
VC0058,DS014,LSD,Lumpy Skin Disease,2026-08-03,2027-08-03,LSD-2572,Dr. S. Joshi,Completed,Every 12 months
VC0059,DS015,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0060,DS015,HS,Haemorrhagic Septicaemia,2026-07-08,2027-07-08,HS-2559,Dr. S. Joshi,Completed,Every 12 months
VC0061,DS015,BQ,Black Quarter,2026-08-15,2027-08-15,BQ-2597,Dr. S. Joshi,Completed,Every 12 months
VC0062,DS015,LSD,Lumpy Skin Disease,2026-02-12,2027-02-12,LSD-2583,Dr. M. Sawant,Completed,Every 12 months
VC0063,DS016,FMD,Foot-and-Mouth Disease,2026-05-22,2026-11-20,FMD-2572,Dr. M. Sawant,Completed,Every 6 months
VC0064,DS016,HS,Haemorrhagic Septicaemia,2026-05-26,2027-05-26,HS-2595,Dr. S. Joshi,Completed,Every 12 months
VC0065,DS016,BQ,Black Quarter,2026-08-02,2027-08-02,BQ-2546,Dr. V. Thorat,Completed,Every 12 months
VC0066,DS016,LSD,Lumpy Skin Disease,,,,,Due,
VC0067,DS017,FMD,Foot-and-Mouth Disease,2026-04-30,2026-10-29,FMD-2606,Dr. M. Sawant,Completed,Every 6 months
VC0068,DS017,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0069,DS017,BQ,Black Quarter,2026-04-13,2027-04-13,BQ-2505,Dr. A. Kulkarni,Completed,Every 12 months
VC0070,DS017,LSD,Lumpy Skin Disease,2026-08-07,2027-08-07,LSD-2568,Dr. P. Naik,Completed,Every 12 months
VC0071,DS018,FMD,Foot-and-Mouth Disease,2026-07-26,2027-01-24,FMD-2557,Dr. S. Joshi,Completed,Every 6 months
VC0072,DS018,HS,Haemorrhagic Septicaemia,2025-11-14,2026-11-14,HS-2561,Dr. M. Sawant,Completed,Every 12 months
VC0073,DS018,BQ,Black Quarter,2025-12-14,2026-12-14,BQ-2503,Dr. P. Naik,Completed,Every 12 months
VC0074,DS018,LSD,Lumpy Skin Disease,,,,,Due,
VC0075,DS019,FMD,Foot-and-Mouth Disease,2026-09-02,2027-03-03,FMD-2546,Dr. V. Thorat,Completed,Every 6 months
VC0076,DS019,HS,Haemorrhagic Septicaemia,2025-12-22,2026-12-22,HS-2581,Dr. A. Kulkarni,Completed,Every 12 months
VC0077,DS019,BQ,Black Quarter,,,,,Due,
VC0078,DS019,LSD,Lumpy Skin Disease,,,,,Due,
VC0079,DS020,FMD,Foot-and-Mouth Disease,2026-05-29,2026-11-27,FMD-2550,Dr. M. Sawant,Completed,Every 6 months
VC0080,DS020,HS,Haemorrhagic Septicaemia,2025-10-01,2026-10-01,HS-2580,Dr. S. Joshi,Scheduled,Every 12 months
VC0081,DS020,BQ,Black Quarter,2026-06-19,2027-06-19,BQ-2572,Dr. S. Joshi,Completed,Every 12 months
VC0082,DS020,LSD,Lumpy Skin Disease,2026-03-23,2027-03-23,LSD-2552,Dr. R. Deshpande,Completed,Every 12 months
VC0083,DS021,FMD,Foot-and-Mouth Disease,2026-08-13,2027-02-11,FMD-2549,Dr. S. Joshi,Completed,Every 6 months
VC0084,DS021,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0085,DS021,BQ,Black Quarter,2025-11-20,2026-11-20,BQ-2588,Dr. M. Sawant,Completed,Every 12 months
VC0086,DS021,LSD,Lumpy Skin Disease,2025-12-13,2026-12-13,LSD-2502,Dr. A. Kulkarni,Completed,Every 12 months
VC0087,DS022,FMD,Foot-and-Mouth Disease,2026-07-30,2027-01-28,FMD-2514,Dr. M. Sawant,Completed,Every 6 months
VC0088,DS022,HS,Haemorrhagic Septicaemia,2026-05-30,2027-05-30,HS-2528,Dr. V. Thorat,Completed,Every 12 months
VC0089,DS022,BQ,Black Quarter,2026-02-17,2027-02-17,BQ-2529,Dr. V. Thorat,Completed,Every 12 months
VC0090,DS022,LSD,Lumpy Skin Disease,,,,,Due,
VC0091,DS023,FMD,Foot-and-Mouth Disease,2026-05-24,2026-11-22,FMD-2586,Dr. M. Sawant,Completed,Every 6 months
VC0092,DS023,HS,Haemorrhagic Septicaemia,2026-03-03,2027-03-03,HS-2582,Dr. P. Naik,Completed,Every 12 months
VC0093,DS023,BQ,Black Quarter,2025-11-02,2026-11-02,BQ-2540,Dr. V. Thorat,Completed,Every 12 months
VC0094,DS023,LSD,Lumpy Skin Disease,2025-11-10,2026-11-10,LSD-2566,Dr. R. Deshpande,Completed,Every 12 months
VC0095,DS024,FMD,Foot-and-Mouth Disease,2026-08-17,2027-02-15,FMD-2515,Dr. S. Joshi,Completed,Every 6 months
VC0096,DS024,HS,Haemorrhagic Septicaemia,2026-01-20,2027-01-20,HS-2577,Dr. R. Deshpande,Completed,Every 12 months
VC0097,DS024,BQ,Black Quarter,2025-10-26,2026-10-26,BQ-2513,Dr. P. Naik,Completed,Every 12 months
VC0098,DS024,LSD,Lumpy Skin Disease,2026-04-05,2027-04-05,LSD-2501,Dr. A. Kulkarni,Completed,Every 12 months
VC0099,DS025,FMD,Foot-and-Mouth Disease,2026-08-26,2027-02-24,FMD-2557,Dr. P. Naik,Completed,Every 6 months
VC0100,DS025,HS,Haemorrhagic Septicaemia,2026-01-11,2027-01-11,HS-2545,Dr. V. Thorat,Completed,Every 12 months
VC0101,DS025,BQ,Black Quarter,2026-08-18,2027-08-18,BQ-2553,Dr. S. Joshi,Completed,Every 12 months
VC0102,DS025,LSD,Lumpy Skin Disease,2026-08-07,2027-08-07,LSD-2533,Dr. V. Thorat,Completed,Every 12 months
VC0103,DS026,FMD,Foot-and-Mouth Disease,2026-07-06,2027-01-04,FMD-2540,Dr. A. Kulkarni,Completed,Every 6 months
VC0104,DS026,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0105,DS026,BQ,Black Quarter,2026-06-02,2027-06-02,BQ-2577,Dr. M. Sawant,Completed,Every 12 months
VC0106,DS026,LSD,Lumpy Skin Disease,,,,,Due,
VC0107,DS027,FMD,Foot-and-Mouth Disease,2026-06-14,2026-12-13,FMD-2602,Dr. R. Deshpande,Completed,Every 6 months
VC0108,DS027,HS,Haemorrhagic Septicaemia,2026-09-06,2027-09-06,HS-2547,Dr. P. Naik,Completed,Every 12 months
VC0109,DS028,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0110,DS028,HS,Haemorrhagic Septicaemia,2026-08-30,2027-08-30,HS-2597,Dr. R. Deshpande,Completed,Every 12 months
VC0111,DS028,BQ,Black Quarter,2026-03-06,2027-03-06,BQ-2572,Dr. V. Thorat,Completed,Every 12 months
VC0112,DS028,Brucellosis,Brucellosis,2026-01-29,,Brucellosis-2525,Dr. A. Kulkarni,Completed,One-time (calfhood)
VC0113,DS028,LSD,Lumpy Skin Disease,,,,,Due,
VC0114,DS029,FMD,Foot-and-Mouth Disease,2026-08-10,2027-02-08,FMD-2556,Dr. S. Joshi,Completed,Every 6 months
VC0115,DS029,HS,Haemorrhagic Septicaemia,2026-01-18,2027-01-18,HS-2568,Dr. M. Sawant,Completed,Every 12 months
VC0116,DS029,BQ,Black Quarter,2026-03-31,2027-03-31,BQ-2521,Dr. V. Thorat,Completed,Every 12 months
VC0117,DS029,LSD,Lumpy Skin Disease,2026-07-21,2027-07-21,LSD-2525,Dr. P. Naik,Completed,Every 12 months
VC0118,DS030,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0119,DS030,HS,Haemorrhagic Septicaemia,2026-01-12,2027-01-12,HS-2582,Dr. A. Kulkarni,Completed,Every 12 months
VC0120,DS030,BQ,Black Quarter,,,,,Due,
VC0121,DS030,LSD,Lumpy Skin Disease,,,,,Due,
VC0122,DS031,FMD,Foot-and-Mouth Disease,2026-04-04,2026-10-03,FMD-2584,Dr. R. Deshpande,Scheduled,Every 6 months
VC0123,DS031,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0124,DS031,BQ,Black Quarter,2026-05-04,2027-05-04,BQ-2572,Dr. V. Thorat,Completed,Every 12 months
VC0125,DS031,LSD,Lumpy Skin Disease,,,,,Due,
VC0126,DS032,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0127,DS032,HS,Haemorrhagic Septicaemia,2026-01-31,2027-01-31,HS-2572,Dr. P. Naik,Completed,Every 12 months
VC0128,DS032,BQ,Black Quarter,2026-02-20,2027-02-20,BQ-2549,Dr. R. Deshpande,Completed,Every 12 months
VC0129,DS032,LSD,Lumpy Skin Disease,,,,,Due,
VC0130,DS033,FMD,Foot-and-Mouth Disease,2026-05-27,2026-11-25,FMD-2512,Dr. A. Kulkarni,Completed,Every 6 months
VC0131,DS033,HS,Haemorrhagic Septicaemia,2026-04-21,2027-04-21,HS-2516,Dr. V. Thorat,Completed,Every 12 months
VC0132,DS033,BQ,Black Quarter,2026-07-07,2027-07-07,BQ-2532,Dr. R. Deshpande,Completed,Every 12 months
VC0133,DS033,LSD,Lumpy Skin Disease,2026-04-02,2027-04-02,LSD-2529,Dr. R. Deshpande,Completed,Every 12 months
VC0134,DS034,FMD,Foot-and-Mouth Disease,2026-04-13,2026-10-12,FMD-2514,Dr. P. Naik,Scheduled,Every 6 months
VC0135,DS034,HS,Haemorrhagic Septicaemia,2026-06-02,2027-06-02,HS-2597,Dr. M. Sawant,Completed,Every 12 months
VC0136,DS034,BQ,Black Quarter,2026-06-01,2027-06-01,BQ-2529,Dr. A. Kulkarni,Completed,Every 12 months
VC0137,DS034,LSD,Lumpy Skin Disease,2026-08-26,2027-08-26,LSD-2526,Dr. A. Kulkarni,Completed,Every 12 months
VC0138,DS035,FMD,Foot-and-Mouth Disease,2026-07-21,2027-01-19,FMD-2501,Dr. A. Kulkarni,Completed,Every 6 months
VC0139,DS035,HS,Haemorrhagic Septicaemia,2026-02-24,2027-02-24,HS-2526,Dr. P. Naik,Completed,Every 12 months
VC0140,DS036,FMD,Foot-and-Mouth Disease,2026-07-25,2027-01-23,FMD-2526,Dr. P. Naik,Completed,Every 6 months
VC0141,DS036,HS,Haemorrhagic Septicaemia,2026-07-08,2027-07-08,HS-2563,Dr. V. Thorat,Completed,Every 12 months
VC0142,DS036,BQ,Black Quarter,,,,,Due,
VC0143,DS036,LSD,Lumpy Skin Disease,2026-07-11,2027-07-11,LSD-2548,Dr. M. Sawant,Completed,Every 12 months
VC0144,DS037,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0145,DS037,HS,Haemorrhagic Septicaemia,2025-10-09,2026-10-09,HS-2610,Dr. M. Sawant,Scheduled,Every 12 months
VC0146,DS037,BQ,Black Quarter,2026-06-14,2027-06-14,BQ-2502,Dr. M. Sawant,Completed,Every 12 months
VC0147,DS037,LSD,Lumpy Skin Disease,2026-07-05,2027-07-05,LSD-2591,Dr. V. Thorat,Completed,Every 12 months
VC0148,DS038,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0149,DS038,HS,Haemorrhagic Septicaemia,2025-12-08,2026-12-08,HS-2567,Dr. M. Sawant,Completed,Every 12 months
VC0150,DS038,BQ,Black Quarter,2026-01-24,2027-01-24,BQ-2502,Dr. R. Deshpande,Completed,Every 12 months
VC0151,DS038,Brucellosis,Brucellosis,2026-07-12,,Brucellosis-2560,Dr. M. Sawant,Completed,One-time (calfhood)
VC0152,DS038,LSD,Lumpy Skin Disease,2026-07-20,2027-07-20,LSD-2530,Dr. S. Joshi,Completed,Every 12 months
VC0153,DS039,FMD,Foot-and-Mouth Disease,2026-06-28,2026-12-27,FMD-2600,Dr. P. Naik,Completed,Every 6 months
VC0154,DS039,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0155,DS039,BQ,Black Quarter,,,,,Due,
VC0156,DS039,LSD,Lumpy Skin Disease,2026-05-31,2027-05-31,LSD-2612,Dr. V. Thorat,Completed,Every 12 months
VC0157,DS040,FMD,Foot-and-Mouth Disease,2026-06-09,2026-12-08,FMD-2592,Dr. A. Kulkarni,Completed,Every 6 months
VC0158,DS040,HS,Haemorrhagic Septicaemia,2025-12-13,2026-12-13,HS-2518,Dr. M. Sawant,Completed,Every 12 months
VC0159,DS040,BQ,Black Quarter,2026-07-14,2027-07-14,BQ-2604,Dr. M. Sawant,Completed,Every 12 months
VC0160,DS040,LSD,Lumpy Skin Disease,,,,,Due,
VC0161,DS041,FMD,Foot-and-Mouth Disease,2026-04-28,2026-10-27,FMD-2560,Dr. P. Naik,Completed,Every 6 months
VC0162,DS041,HS,Haemorrhagic Septicaemia,2026-04-16,2027-04-16,HS-2592,Dr. A. Kulkarni,Completed,Every 12 months
VC0163,DS041,BQ,Black Quarter,2026-06-16,2027-06-16,BQ-2537,Dr. P. Naik,Completed,Every 12 months
VC0164,DS041,LSD,Lumpy Skin Disease,2026-03-29,2027-03-29,LSD-2537,Dr. V. Thorat,Completed,Every 12 months
VC0165,DS042,FMD,Foot-and-Mouth Disease,2026-05-15,2026-11-13,FMD-2512,Dr. S. Joshi,Completed,Every 6 months
VC0166,DS042,HS,Haemorrhagic Septicaemia,2026-02-23,2027-02-23,HS-2593,Dr. A. Kulkarni,Completed,Every 12 months
VC0167,DS042,BQ,Black Quarter,2026-03-21,2027-03-21,BQ-2503,Dr. R. Deshpande,Completed,Every 12 months
VC0168,DS042,LSD,Lumpy Skin Disease,2026-03-09,2027-03-09,LSD-2559,Dr. A. Kulkarni,Completed,Every 12 months
VC0169,DS043,FMD,Foot-and-Mouth Disease,2026-06-06,2026-12-05,FMD-2546,Dr. A. Kulkarni,Completed,Every 6 months
VC0170,DS043,HS,Haemorrhagic Septicaemia,2026-04-10,2027-04-10,HS-2570,Dr. A. Kulkarni,Completed,Every 12 months
VC0171,DS043,BQ,Black Quarter,2025-12-17,2026-12-17,BQ-2523,Dr. A. Kulkarni,Completed,Every 12 months
VC0172,DS043,LSD,Lumpy Skin Disease,2026-05-07,2027-05-07,LSD-2574,Dr. P. Naik,Completed,Every 12 months
VC0173,DS044,FMD,Foot-and-Mouth Disease,2026-05-04,2026-11-02,FMD-2604,Dr. S. Joshi,Completed,Every 6 months
VC0174,DS044,HS,Haemorrhagic Septicaemia,2026-09-05,2027-09-05,HS-2610,Dr. P. Naik,Completed,Every 12 months
VC0175,DS044,BQ,Black Quarter,2026-07-29,2027-07-29,BQ-2581,Dr. P. Naik,Completed,Every 12 months
VC0176,DS044,LSD,Lumpy Skin Disease,,,,,Due,
VC0177,DS045,FMD,Foot-and-Mouth Disease,2026-06-05,2026-12-04,FMD-2535,Dr. S. Joshi,Completed,Every 6 months
VC0178,DS045,HS,Haemorrhagic Septicaemia,2026-05-28,2027-05-28,HS-2515,Dr. P. Naik,Completed,Every 12 months
VC0179,DS045,BQ,Black Quarter,2026-01-29,2027-01-29,BQ-2558,Dr. M. Sawant,Completed,Every 12 months
VC0180,DS045,LSD,Lumpy Skin Disease,2026-04-18,2027-04-18,LSD-2512,Dr. V. Thorat,Completed,Every 12 months
VC0181,DS046,FMD,Foot-and-Mouth Disease,2026-08-28,2027-02-26,FMD-2563,Dr. R. Deshpande,Completed,Every 6 months
VC0182,DS046,HS,Haemorrhagic Septicaemia,2026-02-26,2027-02-26,HS-2542,Dr. P. Naik,Completed,Every 12 months
VC0183,DS046,BQ,Black Quarter,2026-06-07,2027-06-07,BQ-2561,Dr. A. Kulkarni,Completed,Every 12 months
VC0184,DS046,LSD,Lumpy Skin Disease,,,,,Due,
VC0185,DS047,FMD,Foot-and-Mouth Disease,2026-04-23,2026-10-22,FMD-2592,Dr. S. Joshi,Completed,Every 6 months
VC0186,DS047,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0187,DS047,BQ,Black Quarter,2026-08-06,2027-08-06,BQ-2578,Dr. R. Deshpande,Completed,Every 12 months
VC0188,DS047,LSD,Lumpy Skin Disease,,,,,Due,
VC0189,DS048,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0190,DS048,HS,Haemorrhagic Septicaemia,2025-10-17,2026-10-17,HS-2549,Dr. V. Thorat,Scheduled,Every 12 months
VC0191,DS048,BQ,Black Quarter,2026-01-27,2027-01-27,BQ-2573,Dr. R. Deshpande,Completed,Every 12 months
VC0192,DS048,LSD,Lumpy Skin Disease,,,,,Due,
VC0193,DS049,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0194,DS049,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0195,DS049,BQ,Black Quarter,2026-07-03,2027-07-03,BQ-2597,Dr. R. Deshpande,Completed,Every 12 months
VC0196,DS049,LSD,Lumpy Skin Disease,2026-04-25,2027-04-25,LSD-2542,Dr. P. Naik,Completed,Every 12 months
VC0197,DS050,FMD,Foot-and-Mouth Disease,2026-04-05,2026-10-04,FMD-2570,Dr. V. Thorat,Scheduled,Every 6 months
VC0198,DS050,HS,Haemorrhagic Septicaemia,2026-04-07,2027-04-07,HS-2585,Dr. S. Joshi,Completed,Every 12 months
VC0199,DS050,BQ,Black Quarter,2026-01-16,2027-01-16,BQ-2579,Dr. A. Kulkarni,Completed,Every 12 months
VC0200,DS050,LSD,Lumpy Skin Disease,,,,,Due,
VC0201,DS051,FMD,Foot-and-Mouth Disease,2026-07-14,2027-01-12,FMD-2584,Dr. V. Thorat,Completed,Every 6 months
VC0202,DS051,HS,Haemorrhagic Septicaemia,2026-02-05,2027-02-05,HS-2579,Dr. V. Thorat,Completed,Every 12 months
VC0203,DS051,BQ,Black Quarter,2026-05-18,2027-05-18,BQ-2514,Dr. R. Deshpande,Completed,Every 12 months
VC0204,DS051,LSD,Lumpy Skin Disease,2025-11-17,2026-11-17,LSD-2588,Dr. R. Deshpande,Completed,Every 12 months
VC0205,DS052,FMD,Foot-and-Mouth Disease,2026-09-06,2027-03-07,FMD-2604,Dr. S. Joshi,Completed,Every 6 months
VC0206,DS052,HS,Haemorrhagic Septicaemia,2025-10-26,2026-10-26,HS-2560,Dr. M. Sawant,Completed,Every 12 months
VC0207,DS052,BQ,Black Quarter,2026-01-27,2027-01-27,BQ-2569,Dr. A. Kulkarni,Completed,Every 12 months
VC0208,DS052,LSD,Lumpy Skin Disease,2026-03-02,2027-03-02,LSD-2567,Dr. M. Sawant,Completed,Every 12 months
VC0209,DS053,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0210,DS053,HS,Haemorrhagic Septicaemia,2025-10-22,2026-10-22,HS-2536,Dr. A. Kulkarni,Completed,Every 12 months
VC0211,DS053,BQ,Black Quarter,2026-07-02,2027-07-02,BQ-2502,Dr. A. Kulkarni,Completed,Every 12 months
VC0212,DS053,LSD,Lumpy Skin Disease,,,,,Due,
VC0213,DS054,FMD,Foot-and-Mouth Disease,2026-05-19,2026-11-17,FMD-2525,Dr. P. Naik,Completed,Every 6 months
VC0214,DS054,HS,Haemorrhagic Septicaemia,2026-04-08,2027-04-08,HS-2562,Dr. A. Kulkarni,Completed,Every 12 months
VC0215,DS054,BQ,Black Quarter,2026-01-15,2027-01-15,BQ-2526,Dr. S. Joshi,Completed,Every 12 months
VC0216,DS054,LSD,Lumpy Skin Disease,,,,,Due,
VC0217,DS055,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0218,DS055,HS,Haemorrhagic Septicaemia,2026-06-03,2027-06-03,HS-2544,Dr. M. Sawant,Completed,Every 12 months
VC0219,DS055,BQ,Black Quarter,2025-12-23,2026-12-23,BQ-2598,Dr. S. Joshi,Completed,Every 12 months
VC0220,DS055,LSD,Lumpy Skin Disease,,,,,Due,
VC0221,DS056,FMD,Foot-and-Mouth Disease,2026-08-04,2027-02-02,FMD-2504,Dr. V. Thorat,Completed,Every 6 months
VC0222,DS056,HS,Haemorrhagic Septicaemia,2025-10-21,2026-10-21,HS-2519,Dr. P. Naik,Scheduled,Every 12 months
VC0223,DS056,BQ,Black Quarter,2026-08-07,2027-08-07,BQ-2511,Dr. V. Thorat,Completed,Every 12 months
VC0224,DS056,LSD,Lumpy Skin Disease,2026-02-25,2027-02-25,LSD-2524,Dr. P. Naik,Completed,Every 12 months
VC0225,DS057,FMD,Foot-and-Mouth Disease,2026-06-20,2026-12-19,FMD-2612,Dr. R. Deshpande,Completed,Every 6 months
VC0226,DS057,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0227,DS057,BQ,Black Quarter,2026-06-12,2027-06-12,BQ-2590,Dr. S. Joshi,Completed,Every 12 months
VC0228,DS057,LSD,Lumpy Skin Disease,2026-04-28,2027-04-28,LSD-2567,Dr. M. Sawant,Completed,Every 12 months
VC0229,DS058,FMD,Foot-and-Mouth Disease,2026-06-11,2026-12-10,FMD-2580,Dr. V. Thorat,Completed,Every 6 months
VC0230,DS058,HS,Haemorrhagic Septicaemia,2025-11-04,2026-11-04,HS-2610,Dr. S. Joshi,Completed,Every 12 months
