location_id,health_record_id,animal_id,disease,latitude,longitude,gps_accuracy_m,village,taluka,district,state,reported_date,risk_level,cases_nearby_14d
LOC0075,HR0159,DS123,Foot_Mouth_Disease,19.84789,73.9789,15,Sinnar,Sinnar,Nashik,Maharashtra,2026-09-18,High,3
LOC0076,HR0162,DS126,Foot_Mouth_Disease,19.86897,73.99548,8,Sinnar,Sinnar,Nashik,Maharashtra,2026-09-20,High,3
LOC0077,HR0163,DS127,Lumpy_Skin_Disease,16.59043,74.3121,8,Kagal,Kagal,Kolhapur,Maharashtra,2026-07-22,Medium,4
LOC0078,HR0166,DS129,Ringworm,16.51486,74.34015,15,Kagal,Kagal,Kolhapur,Maharashtra,2026-05-18,Medium,3
LOC0079,HR0169,DS131,Mastitis,19.23983,73.91347,25,Junnar,Junnar,Pune,Maharashtra,2026-09-18,Medium,2
LOC0080,HR0170,DS132,Foot_Mouth_Disease,19.85189,74.05602,12,Sinnar,Sinnar,Nashik,Maharashtra,2026-05-22,High,1
LOC0081,HR0172,DS133,Lumpy_Skin_Disease,16.62882,74.36587,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-09-06,High,3
LOC0082,HR0176,DS136,Lumpy_Skin_Disease,18.17706,74.62478,25,Baramati,Baramati,Pune,Maharashtra,2026-08-09,High,1
LOC0083,HR0178,DS137,Foot_Mouth_Disease,20.04058,74.11554,50,Niphad,Niphad,Nashik,Maharashtra,2026-05-20,High,2
LOC0084,HR0180,DS138,Foot_Mouth_Disease,19.58592,74.15829,20,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-07-15,High,2
LOC0085,HR0183,DS140,Lumpy_Skin_Disease,17.32983,74.2224,50,Karad,Karad,Satara,Maharashtra,2026-09-01,High,3
LOC0086,HR0185,DS141,Ringworm,17.69299,75.27376,25,Pandharpur,Pandharpur,Solapur,Maharashtra,2026-08-16,Medium,1
LOC0087,HR0187,DS142,Ringworm,16.56963,74.36109,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-05-18,Medium,3
LOC0088,HR0188,DS143,Lumpy_Skin_Disease,16.86426,74.61204,20,Miraj,Miraj,Sangli,Maharashtra,2026-09-03,High,4
LOC0089,HR0189,DS144,Mastitis,19.23543,73.92779,12,Junnar,Junnar,Pune,Maharashtra,2026-05-11,Low,1
LOC0090,HR0191,DS145,Mastitis,16.52484,74.26156,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-07-17,Medium,2
LOC0091,HR0193,DS146,Mastitis,18.14512,74.54914,25,Baramati,Baramati,Pune,Maharashtra,2026-05-10,High,1
LOC0092,HR0196,DS148,Mastitis,19.19207,73.82518,20,Junnar,Junnar,Pune,Maharashtra,2026-08-27,High,2
LOC0093,HR0197,DS149,Mastitis,17.93206,74.42389,35,Phaltan,Phaltan,Satara,Maharashtra,2026-06-02,Medium,2
LOC0094,HR0198,DS150,Foot_Mouth_Disease,19.79768,74.03385,20,Sinnar,Sinnar,Nashik,Maharashtra,2026-08-05,High,2
LOC0095,HR0201,DS153,Lumpy_Skin_Disease,16.53387,74.30447,15,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-09,High,4
LOC0096,HR0203,DS154,Mastitis,17.34792,74.2362,8,Karad,Karad,Satara,Maharashtra,2026-08-09,Medium,2
LOC0097,HR0204,DS155,Ringworm,19.61225,74.19895,25,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-09-08,Medium,3
LOC0098,HR0206,DS157,Ringworm,19.89226,74.01064,25,Sinnar,Sinnar,Nashik,Maharashtra,2026-06-18,Medium,1
LOC0099,HR0209,DS160,Foot_Mouth_Disease,19.83669,73.96903,35,Sinnar,Sinnar,Nashik,Maharashtra,2026-08-25,High,2
LOC0100,HR0211,DS161,Ringworm,20.02686,74.14842,35,Niphad,Niphad,Nashik,Maharashtra,2026-09-11,Medium,1
LOC0101,HR0214,DS163,Ringworm,18.00283,74.47446,8,Phaltan,Phaltan,Satara,Maharashtra,2026-06-21,Medium,1
LOC0102,HR0216,DS164,Lumpy_Skin_Disease,16.63078,74.30312,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-07-12,High,3
LOC0103,HR0217,DS165,Lumpy_Skin_Disease,16.63274,74.29819,25,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-03,High,5
LOC0104,HR0219,DS166,Ringworm,17.34201,74.1792,15,Karad,Karad,Satara,Maharashtra,2026-05-20,High,1
LOC0105,HR0224,DS171,Mastitis,17.95496,74.44698,15,Phaltan,Phaltan,Satara,Maharashtra,2026-06-12,Medium,3
LOC0106,HR0226,DS172,Lumpy_Skin_Disease,16.53083,74.34152,15,Kagal,Kagal,Kolhapur,Maharashtra,2026-05-29,High,3
LOC0107,HR0228,DS173,Lumpy_Skin_Disease,17.95477,74.43087,12,Phaltan,Phaltan,Satara,Maharashtra,2026-07-11,High,2
LOC0108,HR0230,DS175,Lumpy_Skin_Disease,16.51874,74.32914,50,Kagal,Kagal,Kolhapur,Maharashtra,2026-06-22,Medium,2
LOC0109,HR0231,DS176,Foot_Mouth_Disease,19.79207,74.01018,15,Sinnar,Sinnar,Nashik,Maharashtra,2026-06-06,High,1
LOC0110,HR0234,DS178,Lumpy_Skin_Disease,17.32926,74.16545,20,Karad,Karad,Satara,Maharashtra,2026-09-04,High,3
LOC0111,HR0237,DS180,Ringworm,17.93335,74.46418,12,Phaltan,Phaltan,Satara,Maharashtra,2026-08-29,Medium,1
LOC0112,HR0239,DS181,Foot_Mouth_Disease,19.43884,74.61529,12,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-08-30,High,4
LOC0113,HR0244,DS185,Mastitis,19.18237,73.8178,8,Junnar,Junnar,Pune,Maharashtra,2026-07-01,Low,4
LOC0114,HR0249,DS189,Mastitis,19.26347,73.83224,15,Junnar,Junnar,Pune,Maharashtra,2026-07-08,High,4
LOC0115,HR0251,DS190,Ringworm,19.17062,73.86817,50,Junnar,Junnar,Pune,Maharashtra,2026-08-15,Medium,2
LOC0116,HR0253,DS191,Lumpy_Skin_Disease,16.54277,74.35941,50,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-31,High,4
LOC0117,HR0254,DS192,Lumpy_Skin_Disease,16.69648,74.61316,15,Shirol,Shirol,Kolhapur,Maharashtra,2026-05-29,High,2
LOC0118,HR0257,DS194,Mastitis,17.98227,74.47677,20,Phaltan,Phaltan,Satara,Maharashtra,2026-05-12,Low,1
LOC0119,HR0259,DS195,Lumpy_Skin_Disease,16.78232,74.6192,20,Shirol,Shirol,Kolhapur,Maharashtra,2026-09-17,High,3
LOC0120,HR0260,DS196,Ringworm,17.98431,74.38515,12,Phaltan,Phaltan,Satara,Maharashtra,2026-07-29,Medium,1
LOC0121,HR0263,DS199,Lumpy_Skin_Disease,18.02926,74.45302,20,Phaltan,Phaltan,Satara,Maharashtra,2026-08-20,High,2
LOC0122,HR0265,DS200,Ringworm,19.62426,74.21381,50,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-08-28,Medium,2
LOC0123,HR0267,DS201,Lumpy_Skin_Disease,18.16304,74.53643,15,Baramati,Baramati,Pune,Maharashtra,2026-07-20,High,2
LOC0124,HR0269,DS202,Lumpy_Skin_Disease,16.79659,74.63277,8,Miraj,Miraj,Sangli,Maharashtra,2026-07-10,High,3
LOC0125,HR0272,DS204,Lumpy_Skin_Disease,16.73762,74.6246,20,Shirol,Shirol,Kolhapur,Maharashtra,2026-08-02,High,3
LOC0126,HR0273,DS205,Foot_Mouth_Disease,20.11969,74.09659,12,Niphad,Niphad,Nashik,Maharashtra,2026-05-25,Medium,2
LOC0127,HR0274,DS206,Ringworm,19.88013,74.00978,8,Sinnar,Sinnar,Nashik,Maharashtra,2026-07-17,Medium,1
LOC0128,HR0276,DS207,Lumpy_Skin_Disease,16.57003,74.25707,50,Kagal,Kagal,Kolhapur,Maharashtra,2026-06-02,High,3
LOC0129,HR0277,DS208,Ringworm,19.44609,74.67966,20,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-05-03,Medium,1
LOC0130,HR0278,DS209,Foot_Mouth_Disease,19.56316,74.23177,50,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-07-27,High,4
LOC0131,HR0280,DS210,Ringworm,16.7565,74.54753,8,Shirol,Shirol,Kolhapur,Maharashtra,2026-08-04,Medium,2
LOC0132,HR0282,DS211,Mastitis,19.16154,73.88728,20,Junnar,Junnar,Pune,Maharashtra,2026-06-16,Low,1
LOC0133,HR0284,DS212,Foot_Mouth_Disease,19.55338,74.1789,25,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-07-31,High,3
LOC0134,HR0287,DS215,Mastitis,18.10325,74.56372,35,Baramati,Baramati,Pune,Maharashtra,2026-07-16,Medium,3
LOC0135,HR0289,DS216,Foot_Mouth_Disease,17.67488,75.38745,15,Pandharpur,Pandharpur,Solapur,Maharashtra,2026-09-01,High,1
LOC0136,HR0292,DS218,Mastitis,17.27815,74.16574,50,Karad,Karad,Satara,Maharashtra,2026-06-22,High,1
LOC0137,HR0294,DS219,Foot_Mouth_Disease,19.89091,74.01143,12,Sinnar,Sinnar,Nashik,Maharashtra,2026-08-09,Medium,3
LOC0138,HR0296,DS220,Foot_Mouth_Disease,19.442,74.65473,20,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-09-12,Medium,3
LOC0139,HR0301,DS224,Lumpy_Skin_Disease,17.32356,74.16322,20,Karad,Karad,Satara,Maharashtra,2026-07-18,High,2
LOC0140,HR0303,DS226,Ringworm,19.57017,74.21886,50,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-09-19,Medium,2
LOC0141,HR0304,DS227,Lumpy_Skin_Disease,16.85586,74.59354,20,Miraj,Miraj,Sangli,Maharashtra,2026-09-06,High,4
LOC0142,HR0306,DS228,Lumpy_Skin_Disease,18.03757,74.48299,8,Phaltan,Phaltan,Satara,Maharashtra,2026-09-04,High,2
LOC0143,HR0308,DS229,Ringworm,19.19662,73.88981,15,Junnar,Junnar,Pune,Maharashtra,2026-08-14,Medium,2
LOC0144,HR0310,DS230,Ringworm,16.77811,74.60847,15,Miraj,Miraj,Sangli,Maharashtra,2026-07-16,Medium,1
LOC0145,HR0313,DS233,Foot_Mouth_Disease,19.84907,73.9474,25,Sinnar,Sinnar,Nashik,Maharashtra,2026-09-19,Medium,3
LOC0146,HR0314,DS234,Lumpy_Skin_Disease,18.11924,74.55263,50,Baramati,Baramati,Pune,Maharashtra,2026-07-24,High,2
LOC0147,HR0316,DS236,Ringworm,16.70704,74.57432,12,Shirol,Shirol,Kolhapur,Maharashtra,2026-09-20,Medium,1
LOC0148,HR0317,DS237,Ringworm,18.88117,74.32421,20,Shirur,Shirur,Pune,Maharashtra,2026-05-27,Medium,1
LOC0149,HR0318,DS238,Mastitis,16.57232,74.34056,12,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-04,Low,1
LOC0150,HR0319,DS239,Lumpy_Skin_Disease,16.88473,74.60693,35,Miraj,Miraj,Sangli,Maharashtra,2026-09-10,High,4
LOC0151,HR0320,DS240,Ringworm,18.10199,74.60175,8,Baramati,Baramati,Pune,Maharashtra,2026-09-01,Medium,1
